Date,Adj Close,Volume,NIFTY Open,Stock Open price
12/24/2015,167.697449,884267,7888.75,168.850006
12/28/2015,165.722794,484882,7863.200195,168.699997
12/29/2015,169.523987,867471,7929.200195,172.5
12/30/2015,168.980957,969950,7938.600098,170.100006
12/31/2015,169.721451,323676,7897.799805,171.899994
1/1/2016,168.042999,335512,null,168
1/4/2016,163.303833,640187,7924.549805,166
1/5/2016,167.549332,887865,7828.399902,169.050003
1/6/2016,164.932922,638148,7788.049805,166
1/7/2016,157.034317,460114,7673.350098,160.350006
1/8/2016,160.786163,260506,7611.649902,161.5
1/11/2016,156.688736,319793,7527.450195,158.850006
1/12/2016,154.615356,285425,7587.200195,156.75
1/13/2016,146.963593,646742,7557.899902,146.050003
1/14/2016,143.261108,371161,7467.399902,146.399994
1/15/2016,133.437195,480767,7561.649902,136
1/18/2016,126.476555,561126,7420.350098,126.800003
1/19/2016,131.660019,406074,7381.799805,132.399994
1/20/2016,125.736053,346482,7357,128.600006
1/21/2016,127.118309,316591,7376.649902,131
1/22/2016,130.47522,370056,7355.700195,133.600006
1/25/2016,131.511917,276339,7468.75,134.100006
1/27/2016,132.104309,258035,7469.600098,133.800003
1/28/2016,129.636002,260243,7426.5,132.300003
1/29/2016,133.437195,429968,7413.350098,135.850006
2/1/2016,134.819458,293823,7589.5,136
2/2/2016,130.47522,903559,7566.649902,129.199997
2/3/2016,125.637321,381107,7392.450195,130
2/4/2016,121.391823,294963,7411.450195,123.5
2/5/2016,130.129669,433889,7418.25,131.5
2/8/2016,128.698044,435917,7489.700195,127.800003
2/9/2016,129.636002,322662,7303.950195,130
2/10/2016,126.032249,369071,7264.299805,126.550003
2/11/2016,119.269073,337837,7203.600098,118.599998
2/12/2016,115.714691,397515,7023.649902,117.849998
2/15/2016,123.020912,333770,7057.350098,125.349998
2/16/2016,118.3311,235764,7201.25,118.5
2/17/2016,116.652649,340777,7058.850098,119.550003
2/18/2016,117.343773,240020,7177.399902,117.150002
2/19/2016,118.183006,235656,7170.549805,120.300003
2/22/2016,120.058929,157987,7208.850098,121.949997
